"MD_EARN_WNE_P10","LOCALE","CCBASIC","CONTROL"
39696,"12","19","1"
49678,"12","16","1"
69310,"12","21","2"
50385,"13","17","2"
36607,"32","21","2"
41055,"32","21","1"
73159,"13","15","1"
50106,"12","15","1"
77048,"23","15","1"
41987,"21","19","1"
43579,"11","21","2"
55685,"32","18","1"
52667,"31","18","1"
40782,"22","20","1"
69468,"12","17","2"
48096,"21","19","2"
55283,"13","19","2"
57097,"11","17","2"
69303,"11","17","2"
61080,"32","15","1"
68925,"11","15","1"
54976,"13","18","1"
55248,"21","19","2"
44617,"32","22","2"
35878,"32","22","1"
48303,"13","17","2"
37985,"32","19","1"
35930,"32","20","1"
41700,"13","16","1"
34584,"22","22","1"
41370,"41","20","1"
51780,"13","22","1"
51780,"13","15","1"
53132,"13","19","2"
56514,"21","17","2"
49867,"13","20","2"
54208,"22","22","2"
43368,"31","22","2"
49088,"13","19","2"
81328,"11","19","2"
49016,"13","18","2"
47930,"11","22","2"
65213,"11","15","1"
50685,"33","16","1"
65257,"13","15","1"
54811,"21","18","1"
68925,"21","18","1"
68925,"12","18","1"
53190,"22","19","1"
49984,"21","18","1"
89916,"13","22","3"
61148,"41","16","1"
